index,electrode,x_norm,y_norm,type
0,Fp1,0.38,0.95,electrode
1,AF3,0.34,0.85,electrode
2,F7,0.18,0.75,electrode
3,F3,0.32,0.74,electrode
4,FC1,0.4,0.62,electrode
5,FC5,0.18,0.64,electrode
6,T7,0.1,0.51,electrode
7,C3,0.28,0.51,electrode
8,CP1,0.4,0.4,electrode
9,CP5,0.18,0.38,electrode
10,P7,0.18,0.27,electrode
11,P3,0.32,0.28,electrode
12,Pz,0.5,0.28,electrode
13,PO3,0.34,0.2,electrode
14,O1,0.38,0.12,electrode
15,Oz,0.5,0.1,electrode
16,O2,0.62,0.12,electrode
17,PO4,0.66,0.2,electrode
18,P4,0.68,0.28,electrode
19,P8,0.82,0.27,electrode
20,CP6,0.82,0.38,electrode
21,CP2,0.6,0.4,electrode
22,C4,0.72,0.51,electrode
23,T8,0.9,0.51,electrode
24,FC6,0.82,0.64,electrode
25,FC2,0.6,0.62,electrode
26,F4,0.68,0.74,electrode
27,F8,0.82,0.75,electrode
28,AF4,0.66,0.85,electrode
29,Fp2,0.62,0.95,electrode
30,Fz,0.5,0.74,electrode
31,Cz,0.5,0.51,electrode
32,IO1,0.25,0,EXG
33,IO2,0.75,0,EXG
34,LO1,0.1,0.1,EXG
35,LO2,0.9,0.1,EXG
36,F9,0.025,0.75,EXG
37,F10,0.975,0.75,EXG
38,TP9,0,0.65,EXG
39,TP10,1,0.65,EXG
